  38548;"Gewitter über Ischia";"ubmz-14";"Herstellung";"um 1925";"1920";"1925";"0";"";"";"";"34222
";"Mense, Carl (1886-1965)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38549;"Stralsund";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38550;"Mädchen am Meer";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38551;"Frauen am Strand";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38552;"ohne Titel (Frau)";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38553;"Schneetreiben";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38554;"Frau am Strand";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38555;"Mann in der Ebene";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38556;"Geschwister";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38557;"Zwei Verwundete";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38558;"ohne Titel (Kniende)";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38559;"Jüngling (Kopf)";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38560;"Titelblatt der Sammelmappe";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38561;"Inhalt";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34223
";"Heckel, Erich (1883 – 1970)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-8";"Entstehung";"1921";"1921";"1921";"0";"";"";"";"";"";"";"";"";"";""
  38562;"weiblicher Kopf";""
  38563;"Rückseite";""
  38564;"Dreiviertelportait einer jungen Frau und eines Knaben";""
  38565;"stehender Hirsch und liegende Hirschkuh";""
  38566;"liegendes Kamel und stehendes Dromedar";""
  38567;"stehendes Kamel und liegendes Dromedar";""
  38568;"zwei Greifvögel (Geier)";""
  38569;"Geier";""
  38570;"Hahnenkampf";""
  38571;"zwei Eulen";""
  38572;"Landkirche";""
  38573;"Landgut";""
  38574;"Landschloss";""
  38575;"Schwan und Ente";""
  38576;"zwei Hunde";""
  38577;"Ziege";""
  38578;"Baum";""
  38579;"Baum";""
  38580;"zwanzig Blätterstudien";""
  38581;"Blätterstudien: Eiche, Ranke, Rose, Wein";""
  38582;"Hütten und Windmühle am Wasser";""
  38583;"Frauenkopf (Berliner Zeichenlehrer III Abth. Köpfe No 31.)";""
  38584;"Allgemeine Zeichenschule Nr. 25: Ufergewächse";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38585;"Allgemeine Zeichenschule Nr. 26: Zeun";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38586;"Allgemeine Zeichenschule Nr. 27: Distel";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38587;"Allgemeine Zeichenschule Nr. 29: Ufergewächs";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38588;"Allgemeine Zeichenschule Nr. 30: Tränke";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38589;"Allgemeine Zeichenschule Nr. 31: zwei Baumkronen";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38590;"Allgemeine Zeichenschule Nr. 32: zwei Baumkronen";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38591;"Allgemeine Zeichenschule Nr. 33: Tanne";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38592;"Allgemeine Zeichenschule Nr. 34: Baum und Zaun";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38593;"Allgemeine Zeichenschule Nr. 35: Baum";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
  38594;"Allgemeine Zeichenschule Nr. 36: Baum";"ubmz-14";"Herstellung";"um 1850";"1840";"1860";"0";"";"";"";"";"";"";"";"";"";""
